nom_gare;code_uic;code_postal;total_voyageurs_2022;total_voyageurs_2021;total_voyageurs_2020;total_voyageurs_2019;total_voyageurs_2018;totalvoyageurs2017;total_voyageurs_2016;total_voyageurs_2015
Belz - Ploemel;476408;56550;3106;2349;1375;1586;1127;450;1078;1187
Besançon Mouillère;718015;25000;63088;38644;52359;80798;76137;92077;83461;96710
Beslé;471219;44290;38875;22049;15975;28946;24110;22423;20650;20567
Beuvrages;343160;59192;1989;1588;913;2320;1776;2968;2329;3170
Beynes;393363;78650;158901;151643;86727;192598;188216;184586;177372;169429
Bidos;691949;64400;5185;3220;2525;7401;4020;5771;3829;0
Billy-Montigny;345140;62420;175848;140881;138698;233559;221159;221829;203519;213104
Blainville - Damelevières;141135;54360;275526;216220;177687;251380;246147;264277;279193;295781
Blangy-sur-Ternoise;317248;62770;1373;882;77;8;5;535;1407;1916
Blanzy;694612;71450;21359;22555;21322;13853;7317;6130;5586;7439
Blonville-sur-Mer - Benerville;444380;14910;2498;1864;1398;2404;1927;2020;1978;1977
Bohain-en-Vermandois;296269;2110;142030;120520;109447;142094;154861;171123;167908;162216
Boissise-le-Roi;682518;77310;106713;89893;68921;129195;129907;132082;131326;130124
Bollène La Croisière;764357;84500;176950;138486;87212;134248;115731;136888;129801;142446
Bordeaux Saint-Jean;581009;33800;21353889;16454662;11184093;17675655;16080989;14979299;12198403;12062338
Bouchain;345389;59111;25412;17881;25002;37029;34644;36656;33428;32641
Boucoiran-et-Nozières;775346;30190;6650;6038;3772;1745;1768;1224;1396;1106
Bougival;382440;78170;788442;703957;436970;876847;869907;869754;851846;811830
Boulogne Tintelleries;317016;62200;267068;242201;208525;314693;286180;306739;292292;306653
Boulouris sur Mer;757534;83700;33544;23267;13038;19593;11894;15423;22844;25803
Bouray;545178;91850;1219351;953033;626559;1476220;1463257;1470879;1442819;1408495
Bourg-Saint-Maurice;741793;73700;433350;204591;246215;369133;344666;345929;347270;335530
Bournezeau;486324;85480;2252;1058;320;949;729;573;716;1587
Boussens;611095;31360;232802;164836;124996;190457;167352;206713;174130;185806
Boves;313213;80440;16122;13791;10945;18323;16049;14182;16521;16198
Brest;474007;29211;2370384;1760542;1305129;1962604;1722004;1709736;1631603;1653322
Breteil;471102;35160;85747;57397;59860;87850;78865;80861;86106;81703
Brétigny-sur-Orge;545194;91220;5496901;5104301;3240166;6654818;6622680;6638324;6515476;6360502
Breuillet - Bruyères-le-Châtel;545483;91650;425888;457908;257008;515602;518454;525645;520688;513952
Brignoud;747451;38190;310975;197923;165206;273904;235085;259862;235496;255609
Bruges;581736;33520;27131;29469;26358;51176;34218;29204;20215;26452
Brunoy;682120;91800;4246577;3464332;920246;5141272;5045320;4964873;4792605;4604922
Buno - Gironville;681510;91720;50110;42004;34449;60666;64001;68182;70957;74127
Byans-sur-Doubs;718122;25320;8622;6242;6415;5284;4466;8714;11428;11908
Caffiers;317321;62132;2566;1110;1764;3196;2945;3274;5727;6298
Cambo-les-Bains;673657;64250;32692;11948;6764;7449;4459;5754;7240;21789
Carentan;447243;50500;205544;139469;115933;198781;182871;204135;189685;200110
Caudéran Mérignac;581538;33700;51415;47306;38370;72314;55965;60107;40743;47128
Caussade;613356;82300;155774;115581;77676;90861;81556;102636;99606;104795
Cavignac;491217;33620;72739;53449;40871;55349;44820;39048;31594;30154
Cazères;611079;31220;205782;161091;123606;152020;132125;171050;163036;169960
Cerbère;785006;66290;71860;51686;34933;53142;49136;55700;51893;58653
Cergy Préfecture;381905;95800;12677261;8443663;5992100;12236286;12279673;12347999;12213175;11996226
Cerizay;487280;79140;1081;763;465;535;483;315;322;474
