code_insee,Annee,Nombre_de_Maisons_en_vente,Nombre_Apparts_en_vente,Prix_Moyen,Prix_au_m2_Moyen,Surface_Moyenne
14651,2021,4,0,372887.5,3127.75,132.5
14654,2021,101,3,158832.086538462,1681.95192307692,95.7307692307692
14656,2021,23,1,119852.208333333,1337.25,90.25
14657,2021,3,0,206433.333333333,1645.33333333333,126
14658,2021,63,0,111766.936507937,1074.96825396825,103.777777777778
14659,2021,29,0,179074.896551724,2042.55172413793,89.4137931034483
14660,2021,2,0,410000,2503,164
14661,2021,1,0,270000,900,300
14663,2021,20,3,220730.434782609,2395.82608695652,98.3913043478261
14664,2021,3,0,192263.333333333,1688.33333333333,104.666666666667
14665,2021,9,0,286529.333333333,2593.22222222222,106
14666,2021,18,0,258514.722222222,2577.88888888889,106.388888888889
14667,2021,3,0,194000,2281.33333333333,88.3333333333333
14668,2021,5,0,182340,1585.4,117.4
14669,2021,6,0,166583.333333333,1104,160.833333333333
14672,2021,11,0,157154.545454545,1307.72727272727,118
14674,2021,4,0,224372.5,2237.25,101
14675,2021,23,0,240078.695652174,2360.17391304348,106.130434782609
14676,2021,15,0,252151.666666667,2164.06666666667,128.666666666667
14677,2021,6,0,300750,2523.83333333333,109.333333333333
14678,2021,8,0,230087.5,1729.625,133.125
14679,2021,6,0,197993.333333333,2017.16666666667,101
14680,2021,5,0,318920,2708.8,106.4
14681,2021,1,0,235000,1567,150
14682,2021,11,0,342734.727272727,2642.72727272727,138.181818181818
14685,2021,20,1,273790,2329.71428571429,116.571428571429
14687,2021,3,0,400666.666666667,3359.66666666667,123
14689,2021,55,3,162730.344827586,1727.58620689655,99.8965517241379
14692,2021,20,0,208783,2075.7,104.35
14694,2021,7,0,282778.571428571,2467.57142857143,116
14698,2021,4,0,275750,2409,114.75
14699,2021,39,67,231798.867924528,3318.05660377358,67.9716981132076
14700,2021,9,0,224137.777777778,2035,111.777777777778
14701,2021,18,76,397166.638297872,5134.07446808511,74.5851063829787
14705,2021,2,0,258689,1375,175.5
14706,2021,3,0,150434,1571.66666666667,91.6666666666667
14707,2021,5,0,274960,2221.4,126
14708,2021,4,0,336125,2093.5,158.75
14709,2021,8,0,298825,2479.125,122.75
14710,2021,1,0,173000,1518,114
14711,2021,12,1,185107.692307692,1733.76923076923,119.923076923077
14712,2021,44,2,202435.869565217,2262.15217391304,92.8913043478261
14713,2021,10,0,255262,2446.8,123.9
14714,2021,11,0,174159.090909091,1664.18181818182,107.454545454545
14715,2021,112,237,245892.570200573,4729.52722063037,53.3151862464183
14719,2021,14,1,216440,1955.53333333333,112.4
14720,2021,14,0,156440,1370.07142857143,122.428571428571
14721,2021,7,0,269512.857142857,1779.42857142857,153.857142857143
14723,2021,3,0,239533.333333333,2059,116.666666666667
14724,2021,7,19,207205.769230769,3625.30769230769,60.6923076923077
14726,2021,92,0,113743.304347826,1047.16304347826,104.097826086957
14728,2021,4,0,219950,1608.75,145
14731,2021,7,0,1172995.14285714,5567.28571428571,206.714285714286
14732,2021,3,0,237133.333333333,1707.33333333333,135.333333333333
14733,2021,6,0,351726.666666667,1816,174.666666666667
14734,2021,4,0,186250,1802.25,101.75
14735,2021,10,0,168166,2249.9,91.1
14737,2021,6,0,220248.333333333,1849.66666666667,121.166666666667
14738,2021,48,8,252762.946428571,2587.94642857143,101.857142857143
14739,2021,30,0,302165.333333333,2656.5,113.766666666667
14740,2021,28,0,141098.75,1531.07142857143,96.1785714285714
14741,2021,2,0,58000,1435,39.5
14742,2021,4,0,121200,1045.75,127.5
14744,2021,3,0,253066.666666667,2042.66666666667,122.333333333333
14745,2021,12,0,193908.333333333,1807.83333333333,112.666666666667
14747,2021,10,0,263968,2463.5,105.7
14748,2021,3,0,607376.333333333,3641.66666666667,164.666666666667
14751,2021,3,0,113966.666666667,1194,93.6666666666667
14752,2021,21,4,190069.6,2203.88,93.24
14753,2021,7,0,272707.857142857,2001.28571428571,138.142857142857
14754,2021,55,330,155435.132467532,3794.66233766234,41.1220779220779
14755,2021,27,6,424718.757575758,4161.48484848485,88.8181818181818
14756,2021,2,0,130500,1226,101.5
14758,2021,7,0,429190,2612.42857142857,166.428571428571
14759,2021,5,0,213020,1600.2,128
14760,2021,8,0,217818.75,1770.5,120.875
14761,2021,14,1,203026,2235.93333333333,93.8666666666667
14762,2021,158,60,132983.440366972,1410.33944954128,95.9587155963303
14764,2021,24,1,118588.2,1310.92,92.04
15001,2021,9,3,103010.416666667,1085.41666666667,101.75
15002,2021,3,0,57123.3333333333,1009.33333333333,56.6666666666667
15003,2021,9,0,106063.333333333,1097.33333333333,101.222222222222
15004,2021,1,0,111750,1596,70
15005,2021,1,0,170800,3105,55
15006,2021,12,1,97659.2307692308,1079.92307692308,86.9230769230769
15008,2021,6,0,64333.3333333333,908.166666666667,73.5
15009,2021,3,0,122766.666666667,1206,107.333333333333
15010,2021,4,0,98600,1104,91
15011,2021,2,0,55000,826,71
15012,2021,56,28,134972.583333333,1520.13095238095,87.4523809523809
15013,2021,3,0,55000,760.666666666667,73
15014,2021,114,394,103007.627952756,1382.72637795276,74.3641732283465
15015,2021,5,0,89009.6,1048.4,88.4
15016,2021,10,0,138355,1371.5,99.5
